Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie
10/14/2025,5:00 PM,7:00 PM,Tampa Bay Lightning,2,Washington Capitals,3,OT,Andrei Vasilevskiy,Logan Thompson
10/14/2025,7:00 PM,9:00 PM,Vegas Golden Knights,4,Calgary Flames,2,Regulation,Adin Hill,Dustin Wolf
10/14/2025,7:30 PM,9:30 PM,Minnesota Wild,2,Dallas Stars,5,Regulation,Filip Gustavsson,Jake Oettinger
10/14/2025,8:00 PM,10:00 PM,Carolina Hurricanes,5,San Jose Sharks,1,Regulation,Brandon Bussi,Alex Nedeljkovic
10/14/2025,8:30 PM,10:30 PM,Pittsburgh Penguins,3,Anaheim Ducks,4,Regulation,Tristan Jarry,Lukas Dostal
10/15/2025,5:00 PM,7:00 PM,Ottawa Senators,4,Buffalo Sabres,8,Regulation,Leevi Meriläinen,Alex Lyon
10/15/2025,5:00 PM,7:00 PM,Florida Panthers,1,Detroit Red Wings,4,Regulation,Sergei Bobrovsky,Cameron Talbot
10/15/2025,7:30 PM,9:30 PM,Chicago Blackhawks,8,St. Louis Blues,3,Regulation,Arvid Soderblom,Joel Hofer
10/15/2025,7:30 PM,9:30 PM,Calgary Flames,1,Utah Mammoth,3,Regulation,Devin Cooley,Karel Vejmelka
10/16/2025,5:00 PM,7:00 PM,New York Rangers,1,Toronto Maple Leafs,2,OT,Igor Shesterkin,Anthony Stolarz
10/16/2025,5:00 PM,7:00 PM,Nashville Predators,2,Montreal Canadiens,3,OT,Juuse Saros,Jakub Dobes
10/16/2025,5:00 PM,7:00 PM,Seattle Kraken,3,Ottawa Senators,4,SO,Philipp Grubauer,Linus Ullmark
10/16/2025,5:00 PM,7:00 PM,Florida Panthers,1,New Jersey Devils,3,Regulation,Daniil Tarasov,Jake Allen
10/16/2025,5:00 PM,7:00 PM,Edmonton Oilers,2,New York Islanders,4,Regulation,Stuart Skinner,David Rittich
10/16/2025,5:00 PM,7:00 PM,Winnipeg Jets,5,Philadelphia Flyers,2,Regulation,Connor Hellebuyck,Samuel Ersson
10/16/2025,5:00 PM,7:00 PM,Colorado Avalanche,4,Columbus Blue Jackets,1,Regulation,Scott Wedgewood,Elvis Merzlikins
10/16/2025,6:00 PM,8:00 PM,Vancouver Canucks,5,Dallas Stars,3,Regulation,Thatcher Demko,Casey Desmith
10/16/2025,8:00 PM,10:00 PM,Boston Bruins,5,Vegas Golden Knights,6,Regulation,Jeremy Swayman,Akira Schmid
10/16/2025,8:00 PM,10:00 PM,Carolina Hurricanes,4,Anaheim Ducks,1,Regulation,Frederik Andersen,Lukas Dostal
10/16/2025,8:00 PM,10:00 PM,Pittsburgh Penguins,4,Los Angeles Kings,2,Regulation,Arturs Silovs,Anton Forsberg
10/17/2025,5:00 PM,7:00 PM,Tampa Bay Lightning,1,Detroit Red Wings,2,OT,Andrei Vasilevskiy,John Gibson
10/17/2025,5:00 PM,7:00 PM,Minnesota Wild,1,Washington Capitals,5,Regulation,Filip Gustavsson,Logan Thompson
10/17/2025,6:30 PM,8:30 PM,Vancouver Canucks,3,Chicago Blackhawks,2,SO,Kevin Lankinen,Spencer Knight
10/17/2025,7:00 PM,9:00 PM,San Jose Sharks,3,Utah Mammoth,6,Regulation,Yaroslav Askarov,Karel Vejmelka
10/18/2025,11:00 AM,1:00 PM,Florida Panthers,0,Buffalo Sabres,3,Regulation,Sergei Bobrovsky,Alex Lyon
10/18/2025,1:00 PM,3:00 PM,New York Islanders,5,Ottawa Senators,4,Regulation,Ilya Sorokin,Linus Ullmark
10/18/2025,1:30 PM,3:30 PM,Edmonton Oilers,3,New Jersey Devils,5,Regulation,Calvin Pickard,Jake Allen
10/18/2025,5:00 PM,7:00 PM,Seattle Kraken,4,Toronto Maple Leafs,3,OT,Joey Daccord,Anthony Stolarz
10/18/2025,5:00 PM,7:00 PM,New York Rangers,4,Montreal Canadiens,3,Regulation,Jonathan Quick,Sam Montembeault
10/18/2025,5:00 PM,7:00 PM,Minnesota Wild,1,Philadelphia Flyers,2,OT,Jesper Wallstedt,Daniel Vladar
10/18/2025,5:00 PM,7:00 PM,Tampa Bay Lightning,2,Columbus Blue Jackets,3,Regulation,Jonas Johansson,Jet Greaves
10/18/2025,5:00 PM,7:00 PM,Dallas Stars,1,St. Louis Blues,3,Regulation,Jake Oettinger,Jordan Binnington
10/18/2025,5:00 PM,7:00 PM,Nashville Predators,1,Winnipeg Jets,4,Regulation,Juuse Saros,Connor Hellebuyck
10/18/2025,7:00 PM,9:00 PM,Boston Bruins,1,Colorado Avalanche,4,Regulation,Jeremy Swayman,Scott Wedgewood
10/18/2025,7:00 PM,9:00 PM,Carolina Hurricanes,4,Los Angeles Kings,3,OT,Brandon Bussi,Anton Forsberg
10/18/2025,8:00 PM,10:00 PM,Calgary Flames,1,Vegas Golden Knights,6,Regulation,Dustin Wolf,Adin Hill
10/18/2025,8:00 PM,10:00 PM,Pittsburgh Penguins,3,San Jose Sharks,0,Regulation,Tristan Jarry,Alex Nedeljkovic
10/19/2025,10:30 AM,12:30 PM,Vancouver Canucks,4,Washington Capitals,3,Regulation,Thatcher Demko,Charlie Lindgren
10/19/2025,1:00 PM,3:00 PM,Edmonton Oilers,2,Detroit Red Wings,4,Regulation,Stuart Skinner,John Gibson
10/19/2025,5:00 PM,7:00 PM,Anaheim Ducks,1,Chicago Blackhawks,2,OT,Lukas Dostal,Spencer Knight
10/19/2025,5:00 PM,7:00 PM,Boston Bruins,2,Utah Mammoth,3,Regulation,Joonas Korpisalo,Vitek Vanecek
10/20/2025,5:00 PM,7:00 PM,Minnesota Wild,3,New York Rangers,1,Regulation,Filip Gustavsson,Igor Shesterkin
10/20/2025,5:00 PM,7:00 PM,Seattle Kraken,2,Philadelphia Flyers,5,Regulation,Joey Daccord,Daniel Vladar
10/20/2025,5:30 PM,7:30 PM,Buffalo Sabres,2,Montreal Canadiens,4,Regulation,Alex Lyon,Jakub Dobes
10/20/2025,7:30 PM,9:30 PM,Winnipeg Jets,2,Calgary Flames,1,Regulation,Connor Hellebuyck,Dustin Wolf
10/20/2025,8:00 PM,10:00 PM,Carolina Hurricanes,1,Vegas Golden Knights,4,Regulation,Frederik Andersen,Adin Hill
10/21/2025,5:00 PM,7:00 PM,New Jersey Devils,5,Toronto Maple Leafs,2,Regulation,Jake Allen,Anthony Stolarz
10/21/2025,5:00 PM,7:00 PM,Edmonton Oilers,3,Ottawa Senators,2,OT,Stuart Skinner,Linus Ullmark
10/21/2025,5:00 PM,7:00 PM,San Jose Sharks,3,New York Islanders,4,Regulation,Yaroslav Askarov,Ilya Sorokin
10/21/2025,5:00 PM,7:00 PM,Vancouver Canucks,1,Pittsburgh Penguins,5,Regulation,Kevin Lankinen,Arturs Silovs
10/21/2025,5:00 PM,7:00 PM,Seattle Kraken,1,Washington Capitals,4,Regulation,Matt Murray,Logan Thompson
10/21/2025,5:30 PM,7:30 PM,Florida Panthers,4,Boston Bruins,3,Regulation,Sergei Bobrovsky,Jeremy Swayman
10/21/2025,6:00 PM,8:00 PM,Los Angeles Kings,2,St. Louis Blues,1,OT,Darcy Kuemper,Jordan Binnington
10/21/2025,6:00 PM,8:00 PM,Anaheim Ducks,5,Nashville Predators,2,Regulation,Lukas Dostal,Juuse Saros
10/21/2025,6:00 PM,8:00 PM,Columbus Blue Jackets,5,Dallas Stars,1,Regulation,Elvis Merzlikins,Jake Oettinger
10/21/2025,8:00 PM,10:00 PM,Colorado Avalanche,3,Utah Mammoth,4,OT,Scott Wedgewood,Karel Vejmelka
10/22/2025,5:00 PM,7:00 PM,Minnesota Wild,1,New Jersey Devils,4,Regulation,Filip Gustavsson,Nico Daws
10/22/2025,5:30 PM,7:30 PM,Detroit Red Wings,2,Buffalo Sabres,4,Regulation,John Gibson,Colten Ellis
10/22/2025,6:30 PM,8:30 PM,Montreal Canadiens,2,Calgary Flames,1,OT,Jakub Dobes,Dustin Wolf
10/23/2025,5:00 PM,7:00 PM,Anaheim Ducks,7,Boston Bruins,5,Regulation,Petr Mirazek,Joonas Korpisalo
10/23/2025,5:00 PM,7:00 PM,Philadelphia Flyers,1,Ottawa Senators,2,Regulation,Dan Vladar,Linus Ullmark
10/23/2025,5:00 PM,7:00 PM,Chicago Blackhawks,3,Tampa Bay Lightning,2,Regulation,Spencer Knight,Andrei Vasilevskey
10/23/2025,5:00 PM,7:00 PM,Pittsburgh Penguins,5,Florida Panthers,3,Regulation,Tristan Jarry,Sergei Bobrovsky
10/23/2025,5:00 PM,7:00 PM,Detroit Red Wings,2,New York Islanders,7,Regulation,Cam Talbot,David Rittich
10/23/2025,5:00 PM,7:00 PM,San Jose Sharks,6,New York Rangers,5,OT,Alex Nedeljkovic,Igor Shesterkin
10/23/2025,6:00 PM,8:00 PM,Utah Mammoth,7,St. Louis Blues,4,Regulation,Karel Vejmelka,Joel Hofer
10/23/2025,6:00 PM,8:00 PM,Vancouver Canucks,1,Nashville Predators,2,Regulation,Thatcher Demko,Juuse Saros
10/23/2025,6:00 PM,8:00 PM,Los Angeles Kings,3,Dallas Stars,2,OT,Darcy Kuemper,Jake Oettinger
10/23/2025,6:00 PM,8:00 PM,Seattle Kraken,3,Winnipeg Jets,0,SO,Joey Daccord,Connor Hellebuyck
10/23/2025,7:00 PM,9:00 PM,Carolina Hurricanes,5,Colorado Avalanche,4,SO,Frederik Andersen,Scott Wedgewood
10/23/2025,7:00 PM,9:00 PM,Montreal Canadiens,5,Edmonton Oilers,6,Regulation,Sam Montembeault,Calvin Pickard
10/24/2025,5:00 PM,7:00 PM,Toronto Maple Leafs,3,Buffalo Sabres,5,Regulation,Anthony Stolarz,Alex Lyon
10/24/2025,5:00 PM,7:00 PM,San Jose Sharks,1,New Jersey Devils,3,Regulation,Yaroslav Askarov,Jake Allen
10/24/2025,5:00 PM,7:00 PM,Washington Capitals,5,Columbus Blue Jackets,1,Regulation,Logan Thompson,Jet Greaves
10/24/2025,6:00 PM,8:00 PM,Calgary Flames,3,Winnipeg Jets,5,Regulation,Dustin Wolf,Eric Comrie
10/25/2025,10:30 AM,12:30 PM,New York Islanders,3,Philadelphia Flyers,4,SO,Ilya Sorokin,Samuel Ersson
10/25/2025,1:00 PM,3:00 PM,Colorado Avalanche,2,Boston Bruins,3,Regulation,Scott Wedgewood,Jeremy Swayman
10/25/2025,3:00 PM,5:00 PM,Anaheim Ducks,3,Tampa Bay Lightning,4,Regulation,Lukas Dostal,Jonas Johansson
10/25/2025,4:00 PM,6:00 PM,Vegas Golden Knights,0,Florida Panthers,3,Regulation,Akira Schmid,Sergei Bobrovsky
10/25/2025,4:00 PM,6:00 PM,Utah Mammoth,6,Minnesota Wild,2,Regulation,Karel Vejmelka,Filip Gustavsson
10/25/2025,5:00 PM,7:00 PM,Buffalo Sabres,3,Toronto Maple Leafs,4,OT,Ukko-Pekka Luukkonen,Caden Primeau
10/25/2025,5:00 PM,7:00 PM,St. Louis Blues,4,Detroit Red Wings,6,Regulation,Jordan Binnington,John Gibson
10/25/2025,5:00 PM,7:00 PM,Columbus Blue Jackets,5,Pittsburgh Penguins,4,SO,Elvis Merzlikins,Arturs Silovs
10/25/2025,5:00 PM,7:00 PM,Ottawa Senators,7,Washington Capitals,1,Regulation,Linus Ullmark,Charlie Lindgren
10/25/2025,5:00 PM,7:00 PM,Montreal Canadiens,4,Vancouver Canucks,3,Regulation,Jakub Dobes,Kevin Lankinen
10/25/2025,6:00 PM,8:00 PM,Los Angeles Kings,4,Nashville Predators,5,SO,Darcy Kuemper,Juuse Saros
10/25/2025,6:00 PM,8:00 PM,Carolina Hurricanes,2,Dallas Stars,3,Regulation,Brandon Bussi,Jake Oettinger
10/25/2025,8:00 PM,10:00 PM,Edmonton Oilers,2,Seattle Kraken,3,Regulation,Stuart Skinner,Joey Daccord
10/26/2025,11:00 AM,1:00 PM,Colorado Avalanche,,New Jersey Devils,,Scheduled,,
10/26/2025,3:00 PM,5:00 PM,Vegas Golden Knights,,Tampa Bay Lightning,,Scheduled,,
10/26/2025,4:00 PM,6:00 PM,San Jose Sharks,,Minnesota Wild,,Scheduled,,
10/26/2025,4:00 PM,6:00 PM,Utah Mammoth,,Winnipeg Jets,,Scheduled,,
10/26/2025,5:00 PM,7:00 PM,Los Angeles Kings,,Chicago Blackhawks,,Scheduled,,
10/26/2025,5:00 PM,7:00 PM,Dallas Stars,,Nashville Predators,,Scheduled,,
10/26/2025,6:00 PM,8:00 PM,New York Rangers,,Calgary Flames,,Scheduled,,
10/26/2025,8:00 PM,10:00 PM,Edmonton Oilers,,Vancouver Canucks,,Scheduled,,
10/27/2025,5:00 PM,7:00 PM,St. Louis Blues,,Pittsburgh Penguins,,Scheduled,,
10/27/2025,5:30 PM,7:30 PM,Boston Bruins,,Ottawa Senators,,Scheduled,,
10/28/2025,4:00 PM,6:00 PM,Pittsburgh Penguins,,Philadelphia Flyers,,Scheduled,,
10/28/2025,4:30 PM,6:30 PM,Calgary Flames,,Toronto Maple Leafs,,Scheduled,,
10/28/2025,4:45 PM,6:45 PM,Columbus Blue Jackets,,Buffalo Sabres,,Scheduled,,
10/28/2025,5:00 PM,7:00 PM,Anaheim Ducks,,Florida Panthers,,Scheduled,,
10/28/2025,5:15 PM,7:15 PM,New York Islanders,,Boston Bruins,,Scheduled,,
10/28/2025,5:30 PM,7:30 PM,Vegas Golden Knights,,Carolina Hurricanes,,Scheduled,,
10/28/2025,5:45 PM,7:45 PM,Tampa Bay Lightning,,Nashville Predators,,Scheduled,,
10/28/2025,6:00 PM,8:00 PM,Winnipeg Jets,,Minnesota Wild,,Scheduled,,
10/28/2025,6:15 PM,8:15 PM,Detroit Red Wings,,St. Louis Blues,,Scheduled,,
10/28/2025,6:30 PM,8:30 PM,Washington Capitals,,Dallas Stars,,Scheduled,,
10/28/2025,6:45 PM,8:45 PM,Ottawa Senators,,Chicago Blackhawks,,Scheduled,,
10/28/2025,7:00 PM,9:00 PM,New Jersey Devils,,Colorado Avalanche,,Scheduled,,
10/28/2025,7:30 PM,9:30 PM,Utah Mammoth,,Edmonton Oilers,,Scheduled,,
10/28/2025,8:00 PM,10:00 PM,New York Rangers,,Vancouver Canucks,,Scheduled,,
10/28/2025,8:30 PM,10:30 PM,Montreal Canadiens,,Seattle Kraken,,Scheduled,,
10/28/2025,9:00 PM,11:00 PM,Los Angeles Kings,,San Jose Sharks,,Scheduled,,
10/29/2025,5:30 PM,7:30 PM,Toronto Maple Leafs,,Columbus Blue Jackets,,Scheduled,,
10/30/2025,5:00 PM,7:00 PM,Buffalo Sabres,,Boston Bruins,,Scheduled,,
10/30/2025,5:00 PM,7:00 PM,Calgary Flames,,Ottawa Senators,,Scheduled,,
10/30/2025,5:00 PM,7:00 PM,Dallas Stars,,Tampa Bay Lightning,,Scheduled,,
10/30/2025,5:00 PM,7:00 PM,Nashville Predators,,Philadelphia Flyers,,Scheduled,,
10/30/2025,5:00 PM,7:00 PM,New York Islanders,,Carolina Hurricanes,,Scheduled,,
10/30/2025,6:00 PM,8:00 PM,Vancouver Canucks,,St. Louis Blues,,Scheduled,,
10/30/2025,6:00 PM,8:00 PM,Pittsburgh Penguins,,Minnesota Wild,,Scheduled,,
10/30/2025,6:00 PM,8:00 PM,Chicago Blackhawks,,Winnipeg Jets,,Scheduled,,
10/30/2025,7:00 PM,9:00 PM,New York Rangers,,Edmonton Oilers,,Scheduled,,
10/30/2025,8:00 PM,10:00 PM,New Jersey Devils,,San Jose Sharks,,Scheduled,,
10/30/2025,8:30 PM,10:30 PM,Detroit Red Wings,,Los Angeles Kings,,Scheduled,,
10/31/2025,2:00 PM,4:00 PM,Colorado Avalanche,,Vegas Golden Knights,,Scheduled,,
10/31/2025,5:00 PM,7:00 PM,New York Islanders,,Washington Capitals,,Scheduled,,
10/31/2025,8:00 PM,10:00 PM,Detroit Red Wings,,Anaheim Ducks,,Scheduled,,
11/1/2025,11:00 AM,1:00 PM,Carolina Hurricanes,,Boston Bruins,,Scheduled,,
11/1/2025,1:00 PM,3:00 PM,Pittsburgh Penguins,,Winnipeg Jets,,Scheduled,,
11/1/2025,1:30 PM,3:30 PM,Calgary Flames,,Nashville Predators,,Scheduled,,
11/1/2025,2:00 PM,4:00 PM,Colorado Avalanche,,San Jose Sharks,,Scheduled,,
11/1/2025,4:00 PM,6:00 PM,Dallas Stars,,Florida Panthers,,Scheduled,,
11/1/2025,5:00 PM,7:00 PM,Washington Capitals,,Buffalo Sabres,,Scheduled,,
11/1/2025,5:00 PM,7:00 PM,Ottawa Senators,,Montreal Canadiens,,Scheduled,,
11/1/2025,5:00 PM,7:00 PM,Toronto Maple Leafs,,Philadelphia Flyers,,Scheduled,,
11/1/2025,5:00 PM,7:00 PM,St. Louis Blues,,Columbus Blue Jackets,,Scheduled,,
11/1/2025,5:00 PM,7:00 PM,Vancouver Canucks,,Minnesota Wild,,Scheduled,,
11/1/2025,7:00 PM,9:00 PM,New Jersey Devils,,Los Angeles Kings,,Scheduled,,
11/1/2025,8:00 PM,10:00 PM,Chicago Blackhawks,,Edmonton Oilers,,Scheduled,,
11/1/2025,8:00 PM,10:00 PM,New York Rangers,,Seattle Kraken,,Scheduled,,
11/2/2025,2:30 PM,3:30 PM,Tampa Bay Lightning,,Utah Mammoth,,Scheduled,,
11/2/2025,4:00 PM,5:00 PM,Columbus Blue Jackets,,New York Islanders,,Scheduled,,
11/2/2025,6:00 PM,7:00 PM,Calgary Flames,,Philadelphia Flyers,,Scheduled,,
11/2/2025,7:00 PM,8:00 PM,New Jersey Devils,,Anaheim Ducks,,Scheduled,,
11/2/2025,7:00 PM,8:00 PM,Detroit Red Wings,,San Jose Sharks,,Scheduled,,
11/3/2025,6:30 PM,7:30 PM,Pittsburgh Penguins,,Toronto Maple Leafs,,Scheduled,,
11/3/2025,7:30 PM,8:30 PM,Edmonton Oilers,,St. Louis Blues,,Scheduled,,
11/3/2025,7:30 PM,8:30 PM,Vancouver Canucks,,Nashville Predators,,Scheduled,,
11/3/2025,9:00 PM,10:00 PM,Chicago Blackhawks,,Seattle Kraken,,Scheduled,,
11/4/2025,6:00 PM,7:00 PM,Utah Mammoth,,Buffalo Sabres,,Scheduled,,
11/4/2025,6:00 PM,7:00 PM,Philadelphia Flyers,,Montreal Canadiens,,Scheduled,,
11/4/2025,6:00 PM,7:00 PM,Boston Bruins,,New York Islanders,,Scheduled,,
11/4/2025,6:00 PM,7:00 PM,Carolina Hurricanes,,New York Rangers,,Scheduled,,
11/4/2025,7:00 PM,8:00 PM,Edmonton Oilers,,Dallas Stars,,Scheduled,,
11/4/2025,7:00 PM,8:00 PM,Nashville Predators,,Minnesota Wild,,Scheduled,,
11/4/2025,8:30 PM,9:30 PM,Tampa Bay Lightning,,Colorado Avalanche,,Scheduled,,
11/4/2025,9:00 PM,10:00 PM,Detroit Red Wings,,Vegas Golden Knights,,Scheduled,,
11/4/2025,9:00 PM,10:00 PM,Florida Panthers,,Anaheim Ducks,,Scheduled,,
11/4/2025,9:30 PM,10:30 PM,Winnipeg Jets,,Los Angeles Kings,,Scheduled,,
11/5/2025,6:00 PM,7:00 PM,Utah Mammoth,,Toronto Maple Leafs,,Scheduled,,
11/5/2025,6:30 PM,7:30 PM,St. Louis Blues,,Washington Capitals,,Scheduled,,
11/5/2025,8:30 PM,9:30 PM,Columbus Blue Jackets,,Calgary Flames,,Scheduled,,
11/5/2025,9:00 PM,10:00 PM,Chicago Blackhawks,,Vancouver Canucks,,Scheduled,,
11/5/2025,9:00 PM,10:00 PM,San Jose Sharks,,Seattle Kraken,,Scheduled,,
11/6/2025,6:00 PM,7:00 PM,Ottawa Senators,,Boston Bruins,,Scheduled,,
11/6/2025,6:00 PM,7:00 PM,St. Louis Blues,,Buffalo Sabres,,Scheduled,,
11/6/2025,6:00 PM,7:00 PM,Montreal Canadiens,,New Jersey Devils,,Scheduled,,
11/6/2025,6:00 PM,7:00 PM,Washington Capitals,,Pittsburgh Penguins,,Scheduled,,
11/6/2025,6:00 PM,7:00 PM,Minnesota Wild,,Carolina Hurricanes,,Scheduled,,
11/6/2025,7:00 PM,8:00 PM,Philadelphia Flyers,,Nashville Predators,,Scheduled,,
11/6/2025,7:00 PM,8:00 PM,Anaheim Ducks,,Dallas Stars,,Scheduled,,
11/6/2025,9:00 PM,10:00 PM,Tampa Bay Lightning,,Vegas Golden Knights,,Scheduled,,
11/6/2025,9:30 PM,10:30 PM,Florida Panthers,,Los Angeles Kings,,Scheduled,,
11/7/2025,6:00 PM,7:00 PM,New York Rangers,,Detroit Red Wings,,Scheduled,,
11/7/2025,6:00 PM,7:00 PM,Minnesota Wild,,New York Islanders,,Scheduled,,
11/7/2025,8:00 PM,9:00 PM,Chicago Blackhawks,,Calgary Flames,,Scheduled,,
